County,Year,State,Region,Distance from Metro,Persistent Poverty,Access to Healthcare,% Obese,% Poor Health,Quality of Healthcare,Sexually Transmitted Infections,% Single-Parent Households,% Smokers,% Some College,% Uninsured,Violent Crime Rate
Morgan,2017-01-01,Indiana,Midwest,In Metropolitan,No,52,33,13,64.4,295,26,17,54.2,14,
Newton,2017-01-01,Indiana,Midwest,In Metropolitan,No,7,35,18,46.8,149,38,19,47.8,15,82
Noble,2017-01-01,Indiana,Midwest,Adjacent to Metropolitan,No,29,32,17,58,250,33,18,50.3,16,73
Ohio,2017-01-01,Indiana,Midwest,In Metropolitan,No,17,30,13,58.1,167,29,16,46.1,13,
Orange,2017-01-01,Indiana,Midwest,Adjacent to Metropolitan,No,56,35,18,51.9,324,30,20,47.1,15,
Owen,2017-01-01,Indiana,Midwest,In Metropolitan,No,14,34,16,54.8,127,28,20,50.4,16,
Parke,2017-01-01,Indiana,Midwest,Adjacent to Metropolitan,No,17,34,17,58,413,25,20,53.6,18,52
Perry,2017-01-01,Indiana,Midwest,Adjacent to Metropolitan,No,31,33,16,59.2,194,27,19,42.6,13,
Pike,2017-01-01,Indiana,Midwest,Adjacent to Metropolitan,No,16,36,14,53.5,284,26,17,49.1,13,167
Porter,2017-01-01,Indiana,Midwest,In Metropolitan,No,61,32,15,58,241,27,16,66.7,11,102
Posey,2017-01-01,Indiana,Midwest,In Metropolitan,No,31,29,13,68.4,137,28,16,67.3,9,232
Pulaski,2017-01-01,Indiana,Midwest,Adjacent to Metropolitan,No,46,32,16,54.6,146,25,18,47.5,15,209
Putnam,2017-01-01,Indiana,Midwest,In Metropolitan,No,35,32,14,57.8,283,39,19,51.7,14,61
Randolph,2017-01-01,Indiana,Midwest,Adjacent to Metropolitan,No,16,36,17,64.6,250,33,18,57.6,16,28
Ripley,2017-01-01,Indiana,Midwest,Adjacent to Metropolitan,No,7,33,14,61.8,267,26,17,56.1,12,75
Rush,2017-01-01,Indiana,Midwest,Adjacent to Metropolitan,No,41,33,16,62.7,253,32,19,45,15,
St. Joseph,2017-01-01,Indiana,Midwest,In Metropolitan,No,94,30,17,62.9,312,37,18,65.4,14,342
Scott,2017-01-01,Indiana,Midwest,In Metropolitan,No,38,30,17,53.1,263,31,20,47.9,14,243
Shelby,2017-01-01,Indiana,Midwest,In Metropolitan,No,20,33,15,66.5,302,33,17,48.8,13,332
Spencer,2017-01-01,Indiana,Midwest,Adjacent to Metropolitan,No,29,31,14,69.2,172,19,16,58.1,13,
Starke,2017-01-01,Indiana,Midwest,Adjacent to Metropolitan,No,35,36,17,45.8,104,33,19,50.8,15,100
Steuben,2017-01-01,Indiana,Midwest,Far from Metropolitan,No,35,34,14,57.4,186,33,17,61,14,54
Sullivan,2017-01-01,Indiana,Midwest,In Metropolitan,No,48,33,19,49.2,226,34,20,50.4,14,111
Switzerland,2017-01-01,Indiana,Midwest,Adjacent to Metropolitan,No,,32,18,46.5,152,34,21,44.2,16,
Tippecanoe,2017-01-01,Indiana,Midwest,In Metropolitan,No,72,26,18,66.9,463,32,19,71.3,14,268
Tipton,2017-01-01,Indiana,Midwest,Adjacent to Metropolitan,No,26,31,14,62,115,35,16,63.6,12,124
Union,2017-01-01,Indiana,Midwest,In Metropolitan,No,41,30,15,50,151,26,17,53.2,14,
Vanderburgh,2017-01-01,Indiana,Midwest,In Metropolitan,No,90,33,17,71.3,599,40,18,65.3,12,385
Vermillion,2017-01-01,Indiana,Midwest,In Metropolitan,No,32,33,14,55,164,40,17,56.8,13,129
Vigo,2017-01-01,Indiana,Midwest,In Metropolitan,No,85,33,19,57.2,392,40,20,59.9,15,232
Wabash,2017-01-01,Indiana,Midwest,Adjacent to Metropolitan,No,40,32,16,57.9,182,29,17,56.4,13,60
Warren,2017-01-01,Indiana,Midwest,Adjacent to Metropolitan,No,12,32,13,61.1,238,33,17,53.6,12,
Warrick,2017-01-01,Indiana,Midwest,In Metropolitan,No,142,29,13,72.1,220,22,16,69.6,10,205
Washington,2017-01-01,Indiana,Midwest,In Metropolitan,No,32,31,17,58.5,252,33,19,44.4,16,
Wayne,2017-01-01,Indiana,Midwest,Far from Metropolitan,No,56,30,19,61.6,420,41,19,53.9,15,
Wells,2017-01-01,Indiana,Midwest,In Metropolitan,No,75,28,14,67.8,198,26,17,58.6,12,30
White,2017-01-01,Indiana,Midwest,Adjacent to Metropolitan,No,37,35,14,68.5,233,26,16,54.9,15,88
Whitley,2017-01-01,Indiana,Midwest,In Metropolitan,No,51,32,13,55.6,144,28,16,60.5,12,
Adair,2017-01-01,Iowa,Midwest,Adjacent to Metropolitan,No,40,32,11,65.6,94,30,15,60.9,8,49
Adams,2017-01-01,Iowa,Midwest,Far from Metropolitan,No,26,31,11,68,308,22,15,69.6,10,221
Allamakee,2017-01-01,Iowa,Midwest,Adjacent to Metropolitan,No,50,34,12,75,233,16,15,61.3,10,28
Appanoose,2017-01-01,Iowa,Midwest,Far from Metropolitan,No,55,35,13,55,323,25,17,69.2,9,298
Audubon,2017-01-01,Iowa,Midwest,Adjacent to Metropolitan,No,35,31,11,62.7,221,30,15,63.3,8,
Benton,2017-01-01,Iowa,Midwest,In Metropolitan,No,12,34,11,67.9,257,24,15,68.8,6,55
Black Hawk,2017-01-01,Iowa,Midwest,In Metropolitan,No,96,30,14,75.9,616,32,17,66.9,8,501
Boone,2017-01-01,Iowa,Midwest,Adjacent to Metropolitan,No,45,32,11,67.9,247,28,16,64.7,7,313
Bremer,2017-01-01,Iowa,Midwest,In Metropolitan,No,65,32,10,76.5,207,14,15,77.7,5,229
Buchanan,2017-01-01,Iowa,Midwest,Adjacent to Metropolitan,No,38,35,11,66.7,243,20,15,64.2,7,28
Buena Vista,2017-01-01,Iowa,Midwest,Far from Metropolitan,No,49,33,14,65.7,350,32,16,50.7,12,309
Butler,2017-01-01,Iowa,Midwest,Adjacent to Metropolitan,No,20,34,10,78.9,160,20,14,66.4,6,9
Calhoun,2017-01-01,Iowa,Midwest,Far from Metropolitan,No,71,32,12,56.2,181,32,16,65.2,7,44
Carroll,2017-01-01,Iowa,Midwest,Far from Metropolitan,No,92,31,11,71.2,214,27,16,70.4,6,87
Cass,2017-01-01,Iowa,Midwest,Adjacent to Metropolitan,No,67,35,12,59.9,265,31,17,58.5,8,197
Cedar,2017-01-01,Iowa,Midwest,Adjacent to Metropolitan,No,27,32,11,74.3,174,23,15,65,6,79
Cerro Gordo,2017-01-01,Iowa,Midwest,Far from Metropolitan,No,171,33,12,71.9,195,31,16,73.1,7,106
Cherokee,2017-01-01,Iowa,Midwest,Adjacent to Metropolitan,No,59,38,11,62.9,193,27,15,65.9,7,156
Chickasaw,2017-01-01,Iowa,Midwest,Adjacent to Metropolitan,No,49,33,12,75.7,203,30,16,62.3,9,108
Clarke,2017-01-01,Iowa,Midwest,Adjacent to Metropolitan,No,33,31,14,60.4,332,27,17,56.7,9,135
Clay,2017-01-01,Iowa,Midwest,Far from Metropolitan,No,73,34,12,62.4,321,29,16,66.1,6,119
Clayton,2017-01-01,Iowa,Midwest,Adjacent to Metropolitan,No,28,32,11,70.9,174,26,16,63.2,8,76
Clinton,2017-01-01,Iowa,Midwest,Adjacent to Metropolitan,No,60,33,13,66.1,364,35,17,68.5,6,431
Crawford,2017-01-01,Iowa,Midwest,Far from Metropolitan,No,29,34,17,65.3,447,38,17,50.4,12,40
Dallas,2017-01-01,Iowa,Midwest,In Metropolitan,No,56,30,10,72.4,251,18,15,83.9,5,161
Davis,2017-01-01,Iowa,Midwest,Far from Metropolitan,No,46,33,14,59.6,137,23,19,63.4,12,99
Decatur,2017-01-01,Iowa,Midwest,Far from Metropolitan,No,48,33,15,51.1,443,30,19,55.4,10,
Delaware,2017-01-01,Iowa,Midwest,Adjacent to Metropolitan,No,63,34,11,77.5,240,29,16,58.6,7,146
Des Moines,2017-01-01,Iowa,Midwest,Far from Metropolitan,No,79,31,13,67.3,450,40,19,64.6,7,462
Dickinson,2017-01-01,Iowa,Midwest,Far from Metropolitan,No,83,33,10,63.4,201,27,14,72.9,6,74
Dubuque,2017-01-01,Iowa,Midwest,In Metropolitan,No,73,29,11,77.4,413,27,15,72,6,167
Emmet,2017-01-01,Iowa,Midwest,Far from Metropolitan,No,60,33,13,65.2,280,25,17,65.1,10,288
Fayette,2017-01-01,Iowa,Midwest,Adjacent to Metropolitan,No,34,38,12,66.8,195,33,18,63.2,8,279
Floyd,2017-01-01,Iowa,Midwest,Far from Metropolitan,No,31,31,13,74.8,230,34,18,59.3,8,170
Franklin,2017-01-01,Iowa,Midwest,Far from Metropolitan,No,38,33,13,66.7,322,32,16,50.9,11,
Fremont,2017-01-01,Iowa,Midwest,Adjacent to Metropolitan,No,14,33,12,57,283,27,16,67.6,7,
Greene,2017-01-01,Iowa,Midwest,Adjacent to Metropolitan,No,54,30,13,71.9,317,27,16,65.9,8,36
Grundy,2017-01-01,Iowa,Midwest,In Metropolitan,No,24,32,10,75,179,21,14,75.7,5,86
Guthrie,2017-01-01,Iowa,Midwest,In Metropolitan,No,47,36,12,64.7,206,27,16,62.2,8,59
Hamilton,2017-01-01,Iowa,Midwest,Adjacent to Metropolitan,No,53,31,12,70.5,176,22,16,64.8,8,288
Hancock,2017-01-01,Iowa,Midwest,Far from Metropolitan,No,36,35,11,65.7,162,19,15,66.6,7,99
Hardin,2017-01-01,Iowa,Midwest,Adjacent to Metropolitan,No,46,35,11,67.5,184,19,15,65.4,7,139
Harrison,2017-01-01,Iowa,Midwest,In Metropolitan,No,42,32,11,61.1,333,27,16,70.5,8,38
Henry,2017-01-01,Iowa,Midwest,Adjacent to Metropolitan,No,74,35,12,61.7,223,36,17,63,8,266
Howard,2017-01-01,Iowa,Midwest,Adjacent to Metropolitan,No,32,31,12,68.1,252,26,17,56.9,9,84
Humboldt,2017-01-01,Iowa,Midwest,Far from Metropolitan,No,21,32,12,73.7,165,38,16,62.2,7,72
Ida,2017-01-01,Iowa,Midwest,Adjacent to Metropolitan,No,28,28,11,56.1,224,22,16,68.7,7,117
Iowa,2017-01-01,Iowa,Midwest,Adjacent to Metropolitan,No,73,31,10,70,184,21,15,72.5,6,110
Jackson,2017-01-01,Iowa,Midwest,Adjacent to Metropolitan,No,46,33,12,69.8,194,29,16,62.7,8,61
Jasper,2017-01-01,Iowa,Midwest,Adjacent to Metropolitan,No,43,32,12,66.3,254,27,16,64.6,6,192
Jefferson,2017-01-01,Iowa,Midwest,Far from Metropolitan,No,75,28,13,52.5,196,28,16,74.4,10,75
Johnson,2017-01-01,Iowa,Midwest,In Metropolitan,No,182,23,11,72.8,522,28,17,81.5,7,267
Jones,2017-01-01,Iowa,Midwest,In Metropolitan,No,44,38,11,71.7,199,27,15,64.6,7,
Keokuk,2017-01-01,Iowa,Midwest,Adjacent to Metropolitan,No,10,30,12,64.3,184,23,17,67.4,9,118
Kossuth,2017-01-01,Iowa,Midwest,Far from Metropolitan,No,46,33,11,69.5,176,23,15,73.8,6,128
Lee,2017-01-01,Iowa,Midwest,Far from Metropolitan,No,62,32,14,61.4,320,38,19,63.4,7,499
Linn,2017-01-01,Iowa,Midwest,In Metropolitan,No,62,31,12,72.3,492,30,17,76.4,5,214
Louisa,2017-01-01,Iowa,Midwest,Adjacent to Metropolitan,No,9,37,13,58.5,222,28,16,50.4,10,100
Lucas,2017-01-01,Iowa,Midwest,Adjacent to Metropolitan,No,80,34,12,67,252,30,16,59.9,9,247
Lyon,2017-01-01,Iowa,Midwest,Adjacent to Metropolitan,No,34,32,10,71.3,85,14,15,70.3,7,192
Madison,2017-01-01,Iowa,Midwest,In Metropolitan,No,64,34,10,64,104,16,15,67.9,6,122
Mahaska,2017-01-01,Iowa,Midwest,Far from Metropolitan,No,63,32,12,68,344,28,18,68.5,7,249
Marion,2017-01-01,Iowa,Midwest,Adjacent to Metropolitan,No,96,33,11,70.2,250,20,16,74,6,255
Marshall,2017-01-01,Iowa,Midwest,Adjacent to Metropolitan,No,69,35,14,71.5,356,31,16,53.4,10,407
Mills,2017-01-01,Iowa,Midwest,In Metropolitan,No,67,35,11,70.3,228,26,17,60.6,6,315
Mitchell,2017-01-01,Iowa,Midwest,Far from Metropolitan,No,9,30,11,66,205,19,15,65.5,8,52
Monona,2017-01-01,Iowa,Midwest,Adjacent to Metropolitan,No,89,33,13,67.3,285,33,17,62.3,8,154
Monroe,2017-01-01,Iowa,Midwest,Far from Metropolitan,No,62,32,12,56.4,175,40,18,60.4,11,128
Montgomery,2017-01-01,Iowa,Midwest,Adjacent to Metropolitan,No,58,38,14,68.8,182,41,18,58.7,8,274
Muscatine,2017-01-01,Iowa,Midwest,Adjacent to Metropolitan,No,51,34,14,64.4,364,31,16,57.1,8,428
O'Brien,2017-01-01,Iowa,Midwest,Far from Metropolitan,No,57,32,11,65.8,185,17,15,66.5,8,160
Osceola,2017-01-01,Iowa,Midwest,Far from Metropolitan,No,64,34,11,57.3,161,19,15,57.4,10,21
Page,2017-01-01,Iowa,Midwest,Adjacent to Metropolitan,No,84,35,13,68.8,369,26,18,63.2,8,236
Palo Alto,2017-01-01,Iowa,Midwest,Far from Metropolitan,No,66,36,12,65.4,142,26,16,75.2,7,226
Plymouth,2017-01-01,Iowa,Midwest,In Metropolitan,No,36,32,10,64.6,216,23,15,68.9,6,96
Pocahontas,2017-01-01,Iowa,Midwest,Far from Metropolitan,No,28,32,14,71.3,112,23,17,68.2,7,102
Polk,2017-01-01,Iowa,Midwest,In Metropolitan,No,97,29,12,68.3,509,31,15,72.9,7,326
Pottawattamie,2017-01-01,Iowa,Midwest,In Metropolitan,No,52,36,13,62,461,38,19,61.8,8,693
Poweshiek,2017-01-01,Iowa,Midwest,Far from Metropolitan,No,91,32,11,68.2,301,29,15,68.5,6,212
Ringgold,2017-01-01,Iowa,Midwest,Far from Metropolitan,No,59,35,12,58.8,217,20,15,70.6,11,39
Sac,2017-01-01,Iowa,Midwest,Far from Metropolitan,No,60,33,10,66,139,23,14,68.6,8,99
Scott,2017-01-01,Iowa,Midwest,In Metropolitan,No,83,32,12,71.3,539,33,17,72.9,7,469
Shelby,2017-01-01,Iowa,Midwest,Adjacent to Metropolitan,No,59,29,12,63.8,167,16,15,75.2,7,14
Sioux,2017-01-01,Iowa,Midwest,Far from Metropolitan,No,75,29,11,69.1,133,14,15,65.6,9,97
Story,2017-01-01,Iowa,Midwest,In Metropolitan,No,75,27,12,80.4,452,23,15,84.6,7,143
Tama,2017-01-01,Iowa,Midwest,Adjacent to Metropolitan,No,23,31,13,65.6,324,28,17,60.5,9,433
Taylor,2017-01-01,Iowa,Midwest,Far from Metropolitan,No,33,31,14,63.7,162,28,17,57.1,10,16
Union,2017-01-01,Iowa,Midwest,Adjacent to Metropolitan,No,64,38,13,67.5,342,35,17,63.6,8,131
Van Buren,2017-01-01,Iowa,Midwest,Far from Metropolitan,No,94,36,12,56,215,20,18,55.4,10,170
Wapello,2017-01-01,Iowa,Midwest,Far from Metropolitan,No,80,36,15,55.9,650,33,19,55.3,10,245
Warren,2017-01-01,Iowa,Midwest,In Metropolitan,No,56,31,11,71.8,235,29,15,72.6,5,303
Washington,2017-01-01,Iowa,Midwest,In Metropolitan,No,72,32,12,66,177,23,16,65.2,8,343
Wayne,2017-01-01,Iowa,Midwest,Far from Metropolitan,No,78,33,13,64.4,94,27,17,63.6,11,63
Webster,2017-01-01,Iowa,Midwest,Far from Metropolitan,No,54,31,13,65.5,499,38,17,64.7,7,466
Winnebago,2017-01-01,Iowa,Midwest,Far from Metropolitan,No,47,29,11,68.2,180,19,15,70.1,7,72
Winneshiek,2017-01-01,Iowa,Midwest,Far from Metropolitan,No,96,25,10,76.1,157,17,14,75.1,6,14
Woodbury,2017-01-01,Iowa,Midwest,In Metropolitan,No,68,34,14,62.6,564,40,19,59,11,326
Worth,2017-01-01,Iowa,Midwest,Far from Metropolitan,No,26,34,12,68.1,80,31,16,65.8,7,124
Wright,2017-01-01,Iowa,Midwest,Far from Metropolitan,No,55,34,13,72.3,216,29,16,56.3,9,142
Allen,2017-01-01,Kansas,Midwest,Far from Metropolitan,No,46,34,17,42.6,274,30,19,62.9,11,218
Anderson,2017-01-01,Kansas,Midwest,Adjacent to Metropolitan,No,38,33,15,63.1,203,22,18,58.7,14,246
Atchison,2017-01-01,Kansas,Midwest,Adjacent to Metropolitan,No,42,33,15,54.2,305,37,18,59.7,11,292
Barber,2017-01-01,Kansas,Midwest,Far from Metropolitan,No,61,37,14,56.2,162,20,17,54.2,13,319
Barton,2017-01-01,Kansas,Midwest,Far from Metropolitan,No,58,35,16,65.3,382,35,18,53.9,15,386
Bourbon,2017-01-01,Kansas,Midwest,Adjacent to Metropolitan,No,61,34,18,55.1,168,35,20,62.1,12,531
Brown,2017-01-01,Kansas,Midwest,Adjacent to Metropolitan,No,112,30,15,54.1,230,31,20,57.1,14,187
Butler,2017-01-01,Kansas,Midwest,In Metropolitan,No,65,32,13,60.8,234,24,17,72.9,10,215
Chase,2017-01-01,Kansas,Midwest,Far from Metropolitan,No,,28,15,81,148,27,16,55.5,13,133
Chautauqua,2017-01-01,Kansas,Midwest,Adjacent to Metropolitan,No,,34,16,47.1,113,33,18,53.7,19,
Cherokee,2017-01-01,Kansas,Midwest,Adjacent to Metropolitan,No,24,37,18,57.1,296,26,19,62.2,13,296
Cheyenne,2017-01-01,Kansas,Midwest,Far from Metropolitan,No,74,34,13,56.4,,22,15,66.8,15,110
Clark,2017-01-01,Kansas,Midwest,Far from Metropolitan,No,93,31,17,52.2,228,37,17,61,13,169
Clay,2017-01-01,Kansas,Midwest,Adjacent to Metropolitan,No,120,36,13,69.7,178,28,16,76.2,10,223
Cloud,2017-01-01,Kansas,Midwest,Far from Metropolitan,No,32,30,16,69.9,291,29,18,66.9,12,464
Coffey,2017-01-01,Kansas,Midwest,Adjacent to Metropolitan,No,95,31,14,63.7,107,29,16,63.5,10,109
Comanche,2017-01-01,Kansas,Midwest,Far from Metropolitan,No,51,34,13,79.3,,20,14,80.1,14,
Cowley,2017-01-01,Kansas,Midwest,Adjacent to Metropolitan,No,50,36,17,54.1,246,33,18,63.4,13,366
Crawford,2017-01-01,Kansas,Midwest,Adjacent to Metropolitan,No,76,33,18,60.2,321,28,19,71.4,13,320
Decatur,2017-01-01,Kansas,Midwest,Far from Metropolitan,No,34,36,14,45.7,137,26,16,63,13,0
Dickinson,2017-01-01,Kansas,Midwest,Far from Metropolitan,No,41,32,16,63.3,214,26,18,64.2,11,149
Doniphan,2017-01-01,Kansas,Midwest,In Metropolitan,No,25,32,15,60.6,217,28,18,57.2,11,220
Douglas,2017-01-01,Kansas,Midwest,In Metropolitan,No,88,24,12,69.1,543,28,15,81.4,11,313
Edwards,2017-01-01,Kansas,Midwest,Far from Metropolitan,No,33,33,16,56.4,204,21,17,54.9,15,171
Elk,2017-01-01,Kansas,Midwest,Adjacent to Metropolitan,No,37,33,16,51.9,,20,17,69.1,18,0
Ellis,2017-01-01,Kansas,Midwest,Far from Metropolitan,No,65,32,13,74.4,447,32,16,77.5,11,335
Ellsworth,2017-01-01,Kansas,Midwest,Far from Metropolitan,No,47,33,13,57.8,172,28,16,53.5,10,154
Finney,2017-01-01,Kansas,Midwest,Far from Metropolitan,No,54,35,22,54.1,507,31,17,47.4,18,442
Ford,2017-01-01,Kansas,Midwest,Far from Metropolitan,No,46,31,23,57,365,33,18,43.4,18,348
Franklin,2017-01-01,Kansas,Midwest,Adjacent to Metropolitan,No,47,34,15,66.6,389,23,19,63.3,10,272
Geary,2017-01-01,Kansas,Midwest,Adjacent to Metropolitan,No,35,33,19,61.9,581,26,22,67.9,10,452
Gove,2017-01-01,Kansas,Midwest,Far from Metropolitan,No,183,30,14,60.5,,15,16,65.3,14,168
Graham,2017-01-01,Kansas,Midwest,Far from Metropolitan,No,39,29,14,87.5,,21,16,74.4,12,154
Grant,2017-01-01,Kansas,Midwest,Far from Metropolitan,No,51,36,18,64.4,327,21,16,36.9,18,267
Gray,2017-01-01,Kansas,Midwest,Far from Metropolitan,No,16,36,13,52.4,100,19,15,59.2,16,171
Greeley,2017-01-01,Kansas,Midwest,Far from Metropolitan,No,77,33,14,,310,30,15,66.4,12,77
Greenwood,2017-01-01,Kansas,Midwest,Adjacent to Metropolitan,No,47,33,17,58.9,202,40,17,63.9,13,191
Hamilton,2017-01-01,Kansas,Midwest,Far from Metropolitan,No,38,37,19,,230,22,19,44.6,21,306
Harper,2017-01-01,Kansas,Midwest,Adjacent to Metropolitan,No,52,34,15,56.3,393,28,18,65.2,15,365
Harvey,2017-01-01,Kansas,Midwest,In Metropolitan,No,86,31,14,66.6,250,22,15,64.3,11,399
Haskell,2017-01-01,Kansas,Midwest,Far from Metropolitan,No,49,34,18,48.9,217,23,17,40.8,20,205
Hodgeman,2017-01-01,Kansas,Midwest,Far from Metropolitan,No,52,32,12,70,256,15,14,68,13,101
Jackson,2017-01-01,Kansas,Midwest,In Metropolitan,No,66,33,13,55.2,254,27,16,68.4,12,173
Jefferson,2017-01-01,Kansas,Midwest,In Metropolitan,No,48,30,13,54.2,170,18,16,61.6,11,212
Jewell,2017-01-01,Kansas,Midwest,Far from Metropolitan,No,,30,16,60.5,131,20,16,70.7,14,
Johnson,2017-01-01,Kansas,Midwest,In Metropolitan,No,119,25,9,68.1,274,21,11,84.2,8,142
Kearny,2017-01-01,Kansas,Midwest,Far from Metropolitan,No,102,29,17,62.5,229,25,16,56.3,17,295
Kingman,2017-01-01,Kansas,Midwest,In Metropolitan,No,13,32,15,54.4,191,29,16,64.8,12,190
Kiowa,2017-01-01,Kansas,Midwest,Far from Metropolitan,No,40,33,14,82.6,,18,17,75.7,13,60
Labette,2017-01-01,Kansas,Midwest,Far from Metropolitan,No,67,34,19,55.9,201,36,20,60.9,12,362
Lane,2017-01-01,Kansas,Midwest,Far from Metropolitan,No,59,31,13,81.5,,25,15,69.9,15,252
Leavenworth,2017-01-01,Kansas,Midwest,In Metropolitan,No,43,33,14,60.1,363,27,18,66.2,8,430
Lincoln,2017-01-01,Kansas,Midwest,Far from Metropolitan,No,32,31,14,71.8,,27,17,67.9,15,32
Linn,2017-01-01,Kansas,Midwest,In Metropolitan,No,21,32,14,53.8,158,29,18,63.6,13,234
Logan,2017-01-01,Kansas,Midwest,Far from Metropolitan,No,107,31,13,56.3,,18,16,64.7,14,143
Lyon,2017-01-01,Kansas,Midwest,Adjacent to Metropolitan,No,69,35,18,64.9,397,38,17,59.3,16,143
McPherson,2017-01-01,Kansas,Midwest,Far from Metropolitan,No,75,29,12,64.2,210,23,14,69.6,9,170
Marion,2017-01-01,Kansas,Midwest,Adjacent to Metropolitan,No,33,31,13,58.7,147,20,15,58.1,12,84
Marshall,2017-01-01,Kansas,Midwest,Adjacent to Metropolitan,No,50,33,14,61.3,280,26,17,63.5,10,130
Meade,2017-01-01,Kansas,Midwest,Far from Metropolitan,No,23,27,15,56.5,92,27,15,55,15,769
Miami,2017-01-01,Kansas,Midwest,In Metropolitan,No,40,34,13,64.1,201,25,17,70.9,8,187
Mitchell,2017-01-01,Kansas,Midwest,Far from Metropolitan,No,80,32,13,68.2,110,22,15,74.7,9,328
Montgomery,2017-01-01,Kansas,Midwest,Far from Metropolitan,No,35,35,18,49.9,312,37,20,63.9,14,634
Morris,2017-01-01,Kansas,Midwest,Adjacent to Metropolitan,No,53,35,13,74.3,192,24,15,67.6,12,149
Morton,2017-01-01,Kansas,Midwest,Far from Metropolitan,No,64,32,17,37.8,191,36,16,57.9,14,267
Nemaha,2017-01-01,Kansas,Midwest,Adjacent to Metropolitan,No,99,30,13,65,89,19,16,71.4,9,128
Neosho,2017-01-01,Kansas,Midwest,Far from Metropolitan,No,55,34,16,58.9,219,31,19,65.8,12,246
Ness,2017-01-01,Kansas,Midwest,Far from Metropolitan,No,64,31,15,77.4,,36,16,59.1,13,227
Norton,2017-01-01,Kansas,Midwest,Far from Metropolitan,No,54,32,13,78.6,71,41,17,56.6,11,107
Osage,2017-01-01,Kansas,Midwest,In Metropolitan,No,6,37,14,71.1,242,22,18,60.6,11,171
Osborne,2017-01-01,Kansas,Midwest,Far from Metropolitan,No,80,33,14,61.9,105,19,16,64.2,13,145
Ottawa,2017-01-01,Kansas,Midwest,Far from Metropolitan,No,49,38,12,56.3,182,22,15,74.3,11,99
Pawnee,2017-01-01,Kansas,Midwest,Far from Metropolitan,No,116,30,15,54.9,502,30,17,59.2,11,268
Phillips,2017-01-01,Kansas,Midwest,Far from Metropolitan,No,18,29,14,61.8,163,29,16,70.4,12,121
Pottawatomie,2017-01-01,Kansas,Midwest,In Metropolitan,No,57,31,13,61.3,137,16,16,72.4,9,221
Pratt,2017-01-01,Kansas,Midwest,Far from Metropolitan,No,81,34,14,64.5,314,22,16,66.9,12,326
Rawlins,2017-01-01,Kansas,Midwest,Far from Metropolitan,No,39,32,14,75,270,8,15,71,13,181
Reno,2017-01-01,Kansas,Midwest,Adjacent to Metropolitan,No,60,36,15,69.2,358,25,18,63.1,11,438
Republic,2017-01-01,Kansas,Midwest,Far from Metropolitan,No,83,31,15,59.7,187,26,16,70.6,12,158
Rice,2017-01-01,Kansas,Midwest,Far from Metropolitan,No,30,33,16,62,210,28,17,58.3,13,104
Riley,2017-01-01,Kansas,Midwest,In Metropolitan,No,61,24,14,65.9,594,24,16,82.4,10,230
Rooks,2017-01-01,Kansas,Midwest,Far from Metropolitan,No,116,33,14,74.7,212,32,17,69.2,13,102
Rush,2017-01-01,Kansas,Midwest,Far from Metropolitan,No,31,33,14,77.3,,14,16,68.4,12,241
Russell,2017-01-01,Kansas,Midwest,Far from Metropolitan,No,14,30,14,51,216,24,17,69.6,14,369
Saline,2017-01-01,Kansas,Midwest,Far from Metropolitan,No,84,35,15,72.7,427,39,17,60,12,344
Scott,2017-01-01,Kansas,Midwest,Far from Metropolitan,No,59,32,14,69,139,6,15,56.1,14,369
Sedgwick,2017-01-01,Kansas,Midwest,In Metropolitan,No,87,31,14,61.2,539,34,18,66.7,13,622
Seward,2017-01-01,Kansas,Midwest,Far from Metropolitan,No,47,39,24,42.3,398,41,19,37.9,20,340
Shawnee,2017-01-01,Kansas,Midwest,In Metropolitan,No,70,33,15,67.8,501,34,19,65.2,12,440
Sheridan,2017-01-01,Kansas,Midwest,Far from Metropolitan,No,,32,15,69.2,,20,16,64.7,14,117
Sherman,2017-01-01,Kansas,Midwest,Far from Metropolitan,No,49,30,16,55.6,196,36,17,61.7,15,262
Smith,2017-01-01,Kansas,Midwest,Far from Metropolitan,No,133,34,16,60,,23,16,75.3,13,48
Stafford,2017-01-01,Kansas,Midwest,Far from Metropolitan,No,47,33,16,67.4,229,24,18,58.7,17,260
Stanton,2017-01-01,Kansas,Midwest,Far from Metropolitan,No,95,31,17,,,13,15,59.6,21,
Stevens,2017-01-01,Kansas,Midwest,Far from Metropolitan,No,17,35,20,44,258,12,17,47.5,18,51
Sumner,2017-01-01,Kansas,Midwest,In Metropolitan,No,34,31,14,52.4,225,21,16,65.9,12,275
Thomas,2017-01-01,Kansas,Midwest,Far from Metropolitan,No,51,35,12,56.8,315,22,15,76.5,11,305
Trego,2017-01-01,Kansas,Midwest,Far from Metropolitan,No,138,30,11,76.5,403,17,14,78.2,11,56
Wabaunsee,2017-01-01,Kansas,Midwest,In Metropolitan,No,43,31,12,64.6,270,18,15,76.7,9,173
Wallace,2017-01-01,Kansas,Midwest,Far from Metropolitan,No,0,33,13,,,5,15,75.8,15,0
Washington,2017-01-01,Kansas,Midwest,Far from Metropolitan,No,54,31,13,72.8,195,25,15,65,14,58
Wichita,2017-01-01,Kansas,Midwest,Far from Metropolitan,No,92,29,18,56,,23,18,47.3,18,297
Wilson,2017-01-01,Kansas,Midwest,Far from Metropolitan,No,66,33,16,55.6,220,36,20,53.9,15,244
